"Filter 1","F1 (2)","StartDate","EndDate","Status","IPAddress","Progress","Duration__in_seconds_","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Consent","SWLS_1","SWL01","SWLS_2","SWL_02","SWLS_3","SWL_03","SWLS_4","SWL_04","SWLS_5","SWL_05","SWLScr","Attention_Check","SCC_1_","SCC_2_","SCC_3_","SCC_4_","SCC_5_","SCC_6","RSCC_6","SCC_7_","SCC_8_","SCC_9_","SCC_10_","SCC_11","RSCC_11","SCC_12_","SCCScr","DN_1","DN_2","DN_3_","RDN_3","DN_Scr","IN_1","IN_2","IN_3","RIN_3","IN_Scr","LM_YA1","LM_YA2","LM_YA3","LM_YA4","LM_YA5","LM_YA6","LM_YA7","LM_YA8","LM_YA9","LM_YA10","LM_YA11","LM_YA12","LM_YA13","LM_YA14","LM_YA15","LM_YA16","LM_MA1","LM_MA2","LM_MA3","LM_MA4","LM_MA5","LM_MA6","LM_MA7","LM_MA8","LM_MA9","LM_MA10","LM_MA11","LM_MA12","LM_MA13","LM_EA1","LM_EA2","LM_EA3","LM_EA4","LM_EA5","LM_EA6","LM_EA7","LM_EA8","LM_EA9","LM_EA10","LM_EA11","LM_EA12","CYA1","CYA2","CYA3","CYA4","CYA5","CYA6","CYA7","CYA8","CYA9","CYA10","CYA11","CYA12","CYA13","CYA14","CYA15","CYA16","CMA1","CMA2","CMA3","CMA4","CMA5","CMA6","CMA7","CMA8","CMA9","CMA10","CMA11","CMA12","CMA13","CEA1","CEA2","CEA3","CEA4","CEA5","CEA6","CEA7","CEA8","CEA9","CEA10","CEA11","CEA12","A_YA1_1","A_YA2_1","A_YA3_1","A_YA4_1","A_YA5_1","A_YA6_1","A_YA7_1","A_YA8_1","check50_1","A_YA9_1","A_YA10_1","A_YA11_1","A_YA12_1","A_YA13_1","A_YA14_1","A_YA15_1","A_YA16_1","A_MA1_1","A_MA2_1","A_MA3_1","A_MA4_1","A_MA5_1","A_MA6_1","A_MA7_1","A_MA8_1","A_MA9_1","A_MA10_1","A_MA11_1","A_MA12_1","A_MA13_1","A_EA1_1","A_EA2_1","A_EA3_1","A_EA4_1","A_EA5_1","A_EA6_1","A_EA7_1","A_EA8_1","A_EA9_1","A_EA10_1","A_EA11_1","A_EA12_1","YA%1","YA%2","YA%3","YA%4","YA%5","YA%6","YA%7","YA%8","YA%9","YA%10","YA%11","YA%12","YA%13","YA%14","YA%15","YA%16","MYA%","MA%1","MA%2","MA%3","MA%4","MA%5","MA%6","MA%7","MA%8","MA%9","MA%10","MA%11","MA%12","MA%13","MMA%","EA%1","EA%2","EA%3","EA%4","EA%5","EA%6","EA%7","EA%8","EA%9","EA%10","EA%11","EA%12","MEA%","FTP_1","FTP_2","FTP_3","FTP_4","FTP_5","FTP_6","FTP_7","FTP_8","RFTP_8","FTP_9","RFTP_9","FTP_10","RFTP_10","FTP_Scr","Age","Age Group","Age_aq","Gender","Q71_1","Q71_2","Q71_3","Q71_4","Q71_5","Q71_6","Q71_7","Q71_7_TEXT","Education","Income","PoliticalOrientation","Religion","Religion_10_TEXT","participantId","assignmentId","projectId","projectId (2)"
0,0,19774,19774,0,"108.24.164.246",100.0,281.0,1,19774,"R_5taEipjX15NzmwE",,,,,"39.884","-74.9721","anonymous","EN",1,4,0.5,3,0.5,4,0.5,4,0.5,4,0.5,0.5,"This weekend I hungout with my friend for his birthday.",4,4,3,3,3,3,5,3,3,3,2,3,5,2,3.3333333333333335,4,4,4,4,4.0,4,4,4,4,4.0,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,41.0,18.0,29.0,55.0,33.0,42.0,43.0,45.0,,63.0,48.0,50.0,75.0,29.0,68.0,13.0,53.0,49.0,71.0,76.0,20.0,38.0,36.0,50.0,0.0,0.0,0.0,43.0,42.0,54.0,0.0,1.0,79.0,50.0,39.0,12.0,37.0,23.0,71.0,29.0,57.0,54.0,41.0,-18.0,29.0,-55.0,-33.0,-42.0,-43.0,-45.0,63.0,48.0,50.0,75.0,29.0,68.0,13.0,53.0,14.5625,-49.0,71.0,-76.0,-20.0,-38.0,-36.0,50.0,-0.0,0.0,-0.0,43.0,-42.0,54.0,-3.3076923076923075,-0.0,-1.0,-79.0,50.0,39.0,12.0,37.0,-23.0,-71.0,29.0,57.0,54.0,8.666666666666666,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,30.0," Middle-Age Adult",900.0,1,1,,,,,,,,6,7,4,9,,"B05AE666C3B44722AA7FE07B1575E3BA","9c7e5c53-dc9b-48db-b97e-b91a20473573","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"76.107.136.125",100.0,411.0,1,19774,"R_57qx2nJOiC5aTyd",,,,,"35.1567","-89.9274","anonymous","EN",1,6,0.8333333333333334,4,0.75,6,0.8333333333333334,6,0.8333333333333334,2,0.16666666666666666,0.6833333333333333,"I went to a friend's house for a meeting.",7,7,7,7,7,7,1,7,7,7,7,1,7,7,6.5,6,6,2,6,6.0,6,5,3,5,5.333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,99.0,85.0,76.0,82.0,77.0,85.0,87.0,82.0,,84.0,93.0,97.0,39.0,66.0,67.0,87.0,91.0,91.0,90.0,88.0,75.0,85.0,71.0,89.0,94.0,95.0,93.0,88.0,46.0,88.0,95.0,85.0,99.0,91.0,94.0,84.0,91.0,87.0,92.0,84.0,93.0,95.0,99.0,85.0,76.0,82.0,77.0,85.0,87.0,82.0,84.0,93.0,97.0,39.0,66.0,67.0,87.0,91.0,81.0625,91.0,90.0,88.0,75.0,85.0,71.0,89.0,94.0,95.0,93.0,88.0,-46.0,-88.0,63.46153846153846,95.0,-85.0,99.0,91.0,94.0,84.0,91.0,87.0,92.0,84.0,93.0,95.0,76.66666666666667,5,5,5,1,1,4,3,7,1,6,2,6,2,2.9,72.0,"Elderly Adult",5184.0,1,1,,,,,,,,3,5,2,7,,"218D74FFB32A4C838A88C6019A69DE91","bd742e22-396a-4d5d-9764-2624352028f9","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"73.148.224.88",100.0,438.0,1,19774,"R_5djdGwDHxCdedJF",,,,,"30.3668","-81.5873","anonymous","EN",1,5,0.6666666666666666,4,0.75,5,0.6666666666666666,5,0.6666666666666666,1,0.0,0.5499999999999999,"I watched some netflix shows with my wife.",6,6,6,6,6,2,6,6,6,6,6,2,6,6,6.0,6,6,2,6,6.0,6,6,4,4,5.333333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,1,41.0,32.0,36.0,30.0,37.0,36.0,36.0,50.0,,81.0,48.0,39.0,47.0,56.0,43.0,42.0,84.0,38.0,41.0,83.0,18.0,88.0,15.0,28.0,1.0,2.0,2.0,34.0,17.0,18.0,1.0,4.0,23.0,41.0,29.0,9.0,33.0,59.0,5.0,28.0,20.0,66.0,41.0,32.0,36.0,30.0,37.0,36.0,36.0,50.0,81.0,48.0,39.0,47.0,56.0,43.0,42.0,84.0,46.125,38.0,41.0,83.0,18.0,88.0,15.0,28.0,-1.0,-2.0,-2.0,34.0,17.0,-18.0,26.076923076923077,-1.0,-4.0,23.0,41.0,29.0,9.0,33.0,59.0,-5.0,28.0,20.0,66.0,24.833333333333332,6,6,6,6,6,6,6,2,6,2,6,2,6,6.0,26.0,"Young Adult",676.0,1,1,,,,,,,,5,6,2,1,,"6DF4BAC26DEE4F9FA7C0B8D08891B590","ec198680-b107-4efe-ae0b-b2ba64670252","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"174.84.35.123",100.0,479.0,1,19774,"R_5dEokTJWSlZfl7H",,,,,"43.642","-84.2673","anonymous","EN",1,6,0.8333333333333334,4,0.75,6,0.8333333333333334,5,0.6666666666666666,3,0.3333333333333333,0.6833333333333333,"I watched over 20 hours of social media videos.",7,7,7,7,7,1,7,7,7,7,7,1,7,7,7.0,4,4,4,4,4.0,4,4,5,3,3.6666666666666665,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,75.0,81.0,66.0,77.0,62.0,92.0,29.0,15.0,,92.0,83.0,75.0,90.0,85.0,80.0,26.0,50.0,70.0,69.0,79.0,51.0,82.0,41.0,79.0,43.0,20.0,27.0,4.0,12.0,54.0,30.0,19.0,66.0,8.0,14.0,51.0,1.0,75.0,30.0,55.0,69.0,38.0,75.0,-81.0,66.0,-77.0,-62.0,-92.0,-29.0,15.0,92.0,83.0,75.0,90.0,-85.0,80.0,-26.0,-50.0,4.625,70.0,69.0,79.0,-51.0,-82.0,-41.0,79.0,-43.0,-20.0,-27.0,-4.0,-12.0,54.0,5.461538461538462,-30.0,-19.0,-66.0,-8.0,-14.0,-51.0,-1.0,-75.0,-30.0,55.0,69.0,38.0,-11.0,5,4,5,5,4,6,5,2,6,2,6,3,5,5.1,44.0," Middle-Age Adult",1936.0,1,1,,,,,,,,2,3,5,8,,"EBB7CFA48E0B429B986A48140B7A38C4","da5c716d-33c9-4629-9ef7-1245d2042706","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"98.222.116.135",100.0,496.0,1,19774,"R_6hd3aQNnDShOhy1",,,,,"41.4253","-87.3565","anonymous","EN",1,6,0.8333333333333334,4,0.75,6,0.8333333333333334,6,0.8333333333333334,5,0.6666666666666666,0.7833333333333333,"I attended my friend's birthday party.",3,2,1,5,4,6,2,2,2,1,5,2,6,3,3.0,6,2,2,6,4.666666666666667,5,2,2,6,4.333333333333333,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,41.0,59.0,50.0,60.0,40.0,67.0,29.0,45.0,,53.0,78.0,36.0,,75.0,58.0,6.0,38.0,45.0,54.0,58.0,51.0,,60.0,21.0,23.0,22.0,24.0,18.0,54.0,28.0,34.0,61.0,47.0,38.0,32.0,55.0,45.0,52.0,21.0,17.0,10.0,32.0,41.0,59.0,50.0,60.0,40.0,67.0,-29.0,45.0,53.0,78.0,36.0,,75.0,58.0,-6.0,38.0,,45.0,54.0,58.0,51.0,,60.0,21.0,23.0,-22.0,-24.0,18.0,54.0,28.0,,-34.0,-61.0,47.0,-38.0,32.0,55.0,-45.0,52.0,-21.0,17.0,-10.0,32.0,2.1666666666666665,5,6,7,5,6,6,5,3,5,6,2,5,3,5.0,50.0," Middle-Age Adult",2500.0,1,,1,,,,,,,4,11,4,1,,"FA3BED3C33C047EAB2768EF5172A1310","ccb2f62f-4965-46d1-b9d4-eb70486ce4b7","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"72.218.49.187",100.0,530.0,1,19774,"R_1gLvOZAXYH2mXKY",,,,,"37.3197","-76.7625","anonymous","EN",1,5,0.6666666666666666,4,0.75,3,0.3333333333333333,6,0.8333333333333334,1,0.0,0.5166666666666666,"I went to the beach this weekend.",4,3,2,2,2,5,3,3,4,4,2,3,5,2,3.0,3,1,6,2,2.0,3,1,6,2,2.0,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.0,37.0,2.0,34.0,7.0,20.0,26.0,40.0,,55.0,23.0,30.0,18.0,4.0,29.0,4.0,31.0,30.0,42.0,42.0,24.0,39.0,16.0,24.0,0.0,0.0,0.0,23.0,34.0,8.0,1.0,0.0,58.0,3.0,8.0,3.0,25.0,30.0,33.0,27.0,2.0,56.0,-2.0,-37.0,-2.0,34.0,-7.0,-20.0,-26.0,40.0,55.0,23.0,-30.0,-18.0,-4.0,-29.0,4.0,31.0,0.75,-30.0,42.0,42.0,-24.0,39.0,-16.0,-24.0,-0.0,-0.0,-0.0,23.0,34.0,-8.0,6.0,-1.0,-0.0,-58.0,-3.0,-8.0,-3.0,-25.0,-30.0,-33.0,-27.0,-2.0,-56.0,-20.5,5,5,5,5,3,4,5,4,4,3,5,5,3,4.4,20.0,"Young Adult",400.0,2,1,,,,,,,,3,10,2,8,,"AA68B03BAFC24B278157DF57B293BB6D","c5005733-5f12-4868-8e1e-feefcaf45def","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"66.234.106.200",100.0,495.0,1,19774,"R_6M4KwypbE3lnezV",,,,,"37.751","-97.822","anonymous","EN",1,6,0.8333333333333334,4,0.75,6,0.8333333333333334,6,0.8333333333333334,7,1.0,0.85,"I took my son to basketball tryouts last Sunday afternoon.",6,6,7,6,6,2,6,7,6,6,6,2,6,6,6.166666666666667,5,2,3,5,4.0,6,3,5,3,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,-1,72.0,81.0,96.0,88.0,73.0,95.0,50.0,86.0,,100.0,81.0,99.0,90.0,80.0,81.0,51.0,63.0,80.0,94.0,94.0,64.0,100.0,67.0,92.0,49.0,18.0,7.0,90.0,21.0,26.0,4.0,9.0,65.0,82.0,75.0,41.0,65.0,61.0,29.0,50.0,50.0,70.0,72.0,81.0,96.0,88.0,73.0,95.0,50.0,86.0,100.0,81.0,99.0,90.0,80.0,81.0,-51.0,63.0,74.0,80.0,94.0,94.0,-64.0,100.0,67.0,92.0,-49.0,-18.0,-7.0,90.0,-21.0,26.0,37.23076923076923,-4.0,-9.0,-65.0,82.0,75.0,41.0,65.0,-61.0,-29.0,50.0,50.0,-70.0,10.416666666666666,5,5,6,3,2,5,5,5,3,3,5,7,1,4.0,48.0," Middle-Age Adult",2304.0,1,1,,,,,,,,5,11,5,11,,"08118FE4A7504A34B93DEC7B88ED4EB6","c47d9794-656d-462e-b74e-9c86b5d76707","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"75.190.243.138",100.0,548.0,1,19774,"R_6OALvqjEaqlhqXP",,,,,"35.5838","-80.864","anonymous","EN",1,5,0.6666666666666666,4,0.75,5,0.6666666666666666,5,0.6666666666666666,3,0.3333333333333333,0.6166666666666667,"The only time I left my house this weekend was to do some grocery shopping on Sunday afternoon.",6,6,6,6,6,5,3,6,6,6,6,2,6,6,5.75,5,5,3,5,5.0,5,3,5,3,3.6666666666666665,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,78.0,71.0,26.0,68.0,71.0,49.0,51.0,44.0,,57.0,71.0,94.0,90.0,71.0,67.0,50.0,49.0,40.0,91.0,70.0,62.0,61.0,60.0,71.0,54.0,13.0,26.0,34.0,48.0,56.0,36.0,6.0,81.0,62.0,71.0,52.0,70.0,50.0,54.0,60.0,50.0,70.0,-78.0,-71.0,26.0,68.0,-71.0,49.0,51.0,44.0,57.0,71.0,94.0,90.0,71.0,67.0,-50.0,49.0,29.1875,40.0,91.0,70.0,-62.0,-61.0,-60.0,71.0,-54.0,-13.0,-26.0,34.0,48.0,-56.0,1.6923076923076923,-36.0,-6.0,-81.0,62.0,71.0,-52.0,-70.0,-50.0,-54.0,60.0,50.0,70.0,-3.0,7,7,7,5,5,5,5,5,3,6,2,6,2,4.8,39.0," Middle-Age Adult",1521.0,2,1,,,,,,,,4,7,3,9,,"1E9F2DF0EAC14FE5ACF9DC801B872A3F","13e0dfdc-7223-4882-bf37-5d5b198c0962","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"172.58.187.209",100.0,614.0,1,19774,"R_5A0WUex0WMfHNNa",,,,,"38.8892","-76.9417","anonymous","EN",1,5,0.6666666666666666,4,0.75,5,0.6666666666666666,5,0.6666666666666666,3,0.3333333333333333,0.6166666666666667,"I went bowling with my family on Sunday.",3,3,3,3,3,3,5,3,4,3,4,4,4,3,3.4166666666666665,5,3,4,4,4.0,4,2,7,1,2.3333333333333335,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,82.0,42.0,62.0,79.0,87.0,85.0,48.0,73.0,,89.0,62.0,96.0,79.0,49.0,77.0,39.0,64.0,69.0,95.0,92.0,62.0,88.0,65.0,78.0,22.0,13.0,4.0,82.0,13.0,49.0,14.0,6.0,85.0,32.0,62.0,28.0,30.0,44.0,51.0,48.0,80.0,54.0,-82.0,42.0,62.0,79.0,87.0,85.0,48.0,73.0,89.0,62.0,96.0,79.0,49.0,77.0,39.0,64.0,59.3125,69.0,95.0,92.0,62.0,88.0,65.0,78.0,-22.0,-13.0,-4.0,82.0,-13.0,49.0,48.30769230769231,-14.0,6.0,-85.0,32.0,62.0,28.0,30.0,44.0,-51.0,48.0,80.0,-54.0,10.5,7,7,7,7,5,5,5,4,4,4,4,5,3,5.4,40.0," Middle-Age Adult",1600.0,2,,1,,,,,,,3,12,4,11,,"167FBA33745145AAB16ECD41B165801B","48dc8ef4-9724-422d-a9fb-348f68a4376b","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
0,0,19774,19774,0,"99.56.119.227",100.0,832.0,1,19774,"R_1dZ34fU2Fe9VKV6",,,,,"29.8738","-95.5233","anonymous","EN",1,2,0.16666666666666666,3,0.5,3,0.3333333333333333,2,0.16666666666666666,2,0.16666666666666666,0.26666666666666666,"I watched motor sports on YouTube.",3,3,6,3,3,5,3,3,3,3,2,6,2,5,3.25,6,6,2,6,6.0,6,2,6,2,3.3333333333333335,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,-1,1,-1,-1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,33.0,50.0,50.0,68.0,40.0,68.0,83.0,90.0,,90.0,95.0,99.0,75.0,84.0,75.0,95.0,95.0,75.0,90.0,84.0,50.0,99.0,50.0,50.0,68.0,68.0,68.0,33.0,50.0,68.0,25.0,5.0,50.0,50.0,68.0,10.0,50.0,50.0,20.0,50.0,100.0,50.0,33.0,-50.0,50.0,-68.0,-40.0,-68.0,-83.0,90.0,90.0,95.0,99.0,75.0,84.0,-75.0,95.0,95.0,26.375,-75.0,-90.0,84.0,-50.0,99.0,-50.0,-50.0,-68.0,-68.0,-68.0,-33.0,50.0,-68.0,-29.76923076923077,-25.0,-5.0,-50.0,-50.0,-68.0,-10.0,-50.0,-50.0,-20.0,-50.0,100.0,-50.0,-27.333333333333332,1,1,1,1,1,1,1,7,1,7,1,7,1,1.0,57.0," Middle-Age Adult",3249.0,1,1,,,1,,,,,6,5,4,8,,"4C81EAACF45F43F4A1E2AE4B332C10D9","12f3ece8-d03d-4c37-a18f-5d7b246b4670","251a5fa8-917c-4ed3-8cde-642df604367d","251a5fa8-917c-4ed3-8cde-642df604367d"
